dc3c51d12bfe426a8d60741010f3b378,40000
3f04440326794b7b9a0c34e1853c776f,10000000
2d56c8e9c19d4120ad85e4555ba3bc45,10000000
c535094bd14b48ceb4f636909cf275de,100000
3950f00e45af49b4b4a7662815ddc39a,320000
70f127efdb1c4d7fb8807ea6d8e62427,320000
921c726c3bba4702902166aa919a30c5,9220000
ce1f7998de294989befa06f1a6d7d491,10000000
786471d8140e478d92a462b8aad2d8b9,10000000
0c6c299deffa413bab0b755e995185d9,10000000
19b4f73736414115910d7b7da8f3dd5d,10000000
8e72d19bb72148a29e65893c892fa1ea,10000000
6935d92572cd45118ec24cb3f5d1bf47,10000000
44ca65aae80941209c2b4ca89e37c86f,10000000
